model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,199.3906707763672,1.6877395125902694e-07,1.356399120927668,5.3818224253516244e-11,7.299899206735753e-11,,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,197.70016479492188,2.6182988221989945e-07,1.3448990802375638,8.349167162624345e-11,1.1228787237763152e-10,,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,178.06353759765625,1.4270807469074498e-07,1.2113165822969814,4.550640136822225e-11,5.512265857798965e-11,,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,191.71812438964844,1.9110396938989047e-07,1.3042049278207377,6.093876574932732e-11,7.947663858558629e-11,0.04410613969880708,aggregate,3,11.855389405808703
resnet50_no_weights,IMAGENET100,fp32_unfused,fc,135.61477661132812,0.0006514841224998236,0.06621815264225006,6.5148412249982354e-06,4.3140075067695655e-07,,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,fc,130.6566162109375,0.0008313024300150573,0.06379717588424683,8.313024300150574e-06,5.30347473406724e-07,,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,fc,145.4570770263672,0.0005185859045013785,0.07102396339178085,5.185859045013786e-06,3.683202629679947e-07,,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,fc,137.2428232828776,0.0006671241523387531,0.06701309730609258,6.671241523387532e-06,4.470605573592139e-07,7.287000142833033e-05,aggregate,3,7.533346670691912
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,8.543363571166992,5.1725182856898755e-06,0.13349005579948425,8.08205982139043e-08,1.0788746165321783e-08,,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,7.924522399902344,5.8445707509235945e-06,0.12382066249847412,9.132141798318116e-08,1.130747847497756e-08,,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,9.102096557617188,3.2801299312268384e-06,0.14222025871276855,5.125203017541935e-08,7.289076991102761e-09,,44,3,
