model,dataset,stage,predictor,n_layers,damage_mode,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
resnet18_no_weights,IMAGENET100,PTQ,raw_trh,21,both,0.4708949314498549,0.031194951411419116,3/5,1,0.4669924872665688,0.03281750752623217,3/5,1,1
resnet18_no_weights,IMAGENET100,PTQ,dwsq,21,both,-0.6016268115899389,0.003911794890687574,0/5,1,-0.5964235526788908,0.004320341857479885,0/5,1,21
resnet18_no_weights,IMAGENET100,PTQ,trh_dwsq,21,both,-0.1905693576171374,0.4079837442550786,0/5,1,-0.18536609870608928,0.42113868999448617,0/5,1,13
resnet50_no_weights,IMAGENET100,PTQ,raw_trh,54,both,0.25093849963099124,0.06720908810360471,3/5,1,0.3663288466658301,0.006442239648565792,3/5,1,1
resnet50_no_weights,IMAGENET100,PTQ,dwsq,54,both,-0.048956146856831084,0.7251788811716299,0/5,1,0.18205549467390575,0.18764849328190636,0/5,1,54
resnet50_no_weights,IMAGENET100,PTQ,trh_dwsq,54,both,0.17379432134175035,0.20881549304027625,0/5,1,0.37592681540415196,0.005088031711738201,0/5,1,9
cnn,IMAGENET100,PTQ,raw_trh,6,both,0.3768511731740915,0.4614828403508045,4/5,1,0.3768511731740915,0.4614828403508045,4/5,1,3
cnn,IMAGENET100,PTQ,dwsq,6,both,-0.8116794499134279,0.04985758510134036,4/5,1,-0.8116794499134279,0.04985758510134036,4/5,1,6
cnn,IMAGENET100,PTQ,trh_dwsq,6,both,-0.17393131069573456,0.7417339277316278,4/5,1,-0.17393131069573456,0.7417339277316278,4/5,1,5
resnet18_no_weights,IMAGENET100,QAT,raw_trh,21,both,-0.20546181221106827,0.37160185866986545,1/5,21,-0.20546181221106827,0.37160185866986545,1/5,21,1
resnet18_no_weights,IMAGENET100,QAT,dwsq,21,both,0.3777636484007299,0.09134343545901685,2/5,21,0.3777636484007299,0.09134343545901685,2/5,21,21
resnet18_no_weights,IMAGENET100,QAT,trh_dwsq,21,both,0.3439534767710605,0.12683621259953634,3/5,21,0.3439534767710605,0.12683621259953634,3/5,21,10
resnet50_no_weights,IMAGENET100,QAT,raw_trh,54,both,-0.06935013691313159,0.6182771710635292,0/5,54,-0.06935013691313159,0.6182771710635292,0/5,54,1
resnet50_no_weights,IMAGENET100,QAT,dwsq,54,both,0.1505265388958866,0.27727460007001087,1/5,54,0.1505265388958866,0.27727460007001087,1/5,54,54
resnet50_no_weights,IMAGENET100,QAT,trh_dwsq,54,both,0.017299261525792205,0.9011903454960482,2/5,54,0.017299261525792205,0.9011903454960482,2/5,54,6
cnn,IMAGENET100,QAT,raw_trh,6,both,0.6,0.208,4/5,6,-0.2571428571428572,0.6227871720116619,4/5,5,3
cnn,IMAGENET100,QAT,dwsq,6,both,-0.14285714285714288,0.7871720116618076,5/5,6,0.3714285714285715,0.4684781341107872,4/5,5,6
cnn,IMAGENET100,QAT,trh_dwsq,6,both,0.7714285714285715,0.07239650145772594,5/5,6,0.2571428571428572,0.6227871720116619,4/5,5,6
