model,dataset,best_val_acc,wall_time_min,status
cnn,MNIST,99.14,0.6,ok
resnet18_scratch,MNIST,99.29,0.7,ok
resnet18_pretrained,MNIST,98.17,0.5,ok
resnet50_pretrained,MNIST,99.18,1.0,ok
cnn,FASHION_MNIST,89.36,0.6,ok
resnet18_scratch,FASHION_MNIST,89.66,0.7,ok
resnet18_pretrained,FASHION_MNIST,82.83,0.5,ok
resnet50_pretrained,FASHION_MNIST,89.09,1.0,ok
cnn,CIFAR10,62.87,0.4,ok
resnet18_scratch,CIFAR10,67.19,0.5,ok
resnet18_pretrained,CIFAR10,45.10,0.3,ok
resnet50_pretrained,CIFAR10,34.74,0.7,ok
cnn,CIFAR100,22.60,0.4,ok
resnet18_scratch,CIFAR100,34.22,0.5,ok
resnet18_pretrained,CIFAR100,17.01,0.3,ok
resnet50_pretrained,CIFAR100,15.24,0.7,ok
cnn,POKEMON,22.95,1.0,ok
resnet18_scratch,POKEMON,20.53,0.9,ok
resnet18_pretrained,POKEMON,4.91,0.9,ok
resnet50_pretrained,POKEMON,92.30,0.8,ok
