model,dataset,stage,excluded_layer,selection,excluded_trace,fp32_acc,all_quantized_acc,ablated_acc,recovery_pts,fraction_of_fp32_recovered,excluded_layer_still_fp32,other_layers_quantized
resnet50_no_weights,CIFAR10,PTQ,,none,,75.46,24.08,24.08,0.0,0.0,,True
resnet50_no_weights,CIFAR10,PTQ,conv1,top_trace,13161.826611328124,75.46,24.08,25.01,0.9300000000000033,0.018100428182172116,True,True
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,top_trace,475.70222058015713,75.46,24.08,29.38,5.300000000000001,0.10315297781237838,True,True
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,top_trace,275.47671289597787,75.46,24.08,27.72,3.6400000000000006,0.07084468664850138,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,low_trace,0.6501170301691015,75.46,24.08,21.96,-2.1199999999999974,-0.041261191124951295,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,low_trace,0.7322613652105685,75.46,24.08,27.74,3.66,0.07123394316854809,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,low_trace,0.7436659923539712,75.46,24.08,23.27,-0.8099999999999987,-0.015764889061891763,True,True
resnet50_no_weights,CIFAR10,QAT,,none,,84.44,83.78,83.78,0.0,0.0,,True
resnet50_no_weights,CIFAR10,QAT,conv1,top_trace,183.24382030602655,84.44,83.78,83.92,0.14000000000000057,0.21212121212121407,True,True
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,top_trace,54.19021253232603,84.44,83.78,83.96,0.1799999999999926,0.27272727272726294,True,True
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,top_trace,52.98683420817057,84.44,83.78,83.88,0.09999999999999432,0.1515151515151437,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,low_trace,1.0229292584432137,84.44,83.78,83.95,0.1700000000000017,0.2575757575757615,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,low_trace,1.5170979227049877,84.44,83.78,83.71,-0.07000000000000739,-0.1060606060606178,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,low_trace,2.3589966618097744,84.44,83.78,83.88,0.09999999999999432,0.1515151515151437,True,True
