model,dataset,stage,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
cnn,CIFAR10,PTQ,1,1.0236745001748204,0.3726065006048884,976.8730195283975,2683.7964404179816,2.7473339797158394
cnn,CIFAR10,PTQ,8,6.003633001455455,1.7590520001249388,1332.5264882214765,4547.904211718465,3.4129934766164047
cnn,CIFAR10,PTQ,32,29.233762999865576,6.5344074992026435,1094.6247323735622,4897.1540271868225,4.473820006394276
cnn,CIFAR10,PTQ,64,66.66807550027443,15.387680497951806,959.9797132247586,4159.171358446049,4.332561720991565
cnn,CIFAR10,PTQ,128,138.7386325022817,33.27121999973315,922.5981090587362,3847.1688143995507,4.169929221212641
cnn,CIFAR10,QAT,1,0.9703200012154412,0.36679650111182127,1030.5878460171707,2726.3073583549285,2.64539055927262
cnn,CIFAR10,QAT,8,5.795995000880794,1.7521320005471352,1380.2634403211653,4565.866040630417,3.30796709327316
cnn,CIFAR10,QAT,32,30.26279500227247,6.913397997777793,1057.4039839214151,4628.693445724652,4.377412527385229
cnn,CIFAR10,QAT,64,69.60612500006391,15.422969499923056,919.4593148223843,4149.654837890932,4.51314677114619
cnn,CIFAR10,QAT,128,139.09375950061076,33.289506998698926,920.2425792469716,3845.0554405928183,4.178306380627597
resnet18_no_weights,CIFAR10,PTQ,1,3.98911299998872,0.9727150008984609,250.6822945358599,1028.0503529567623,4.101009027622812
resnet18_no_weights,CIFAR10,PTQ,8,9.527759999400587,3.2306760003848467,839.651712522492,2476.2619337398796,2.9491536750406464
resnet18_no_weights,CIFAR10,PTQ,32,32.04555449883628,10.217892999207834,998.5784456050546,3131.7611177256285,3.136219424231658
resnet18_no_weights,CIFAR10,PTQ,64,71.06574499994167,19.87716649819049,900.5745313730621,3219.774810752137,3.575245244658544
resnet18_no_weights,CIFAR10,PTQ,128,169.12967449934513,41.44845400151098,756.815741406134,3088.1730834962827,4.080482096948166
resnet18_no_weights,CIFAR10,QAT,1,4.031852500702371,0.9854394993453752,248.0249463058965,1014.7756413907675,4.091425707393219
resnet18_no_weights,CIFAR10,QAT,8,10.042634001365514,3.2230659999186173,796.6037594232974,2482.10865064569,3.1158635912572348
resnet18_no_weights,CIFAR10,QAT,32,31.891843500488903,10.310906500308192,1003.3913530119211,3103.5098610431123,3.093020337206594
resnet18_no_weights,CIFAR10,QAT,64,72.77736750074837,19.891469999492983,879.3942704693446,3217.459544298702,3.658722432409641
resnet18_no_weights,CIFAR10,QAT,128,169.14502800136688,40.712038999117794,756.74704431138,3144.0331446620417,4.154668549149114
resnet50_no_weights,CIFAR10,PTQ,1,12.80804850102868,2.7119409987790277,78.07590671753663,368.73958557734875,4.722834496323898
resnet50_no_weights,CIFAR10,PTQ,8,28.425471999071306,8.832295998217887,281.43771896774024,905.7667453190177,3.2183559070944607
resnet50_no_weights,CIFAR10,PTQ,32,153.7593855009618,35.421852000581566,208.11737700265348,903.3971459051496,4.340805938053079
resnet50_no_weights,CIFAR10,PTQ,64,354.1350815012265,65.99657399965508,180.72199943788496,969.7473084032283,5.365961595265192
resnet50_no_weights,CIFAR10,PTQ,128,751.680805500655,151.6539724998438,170.28504527895447,844.0266871356228,4.95655203164183
resnet50_no_weights,CIFAR10,QAT,1,12.440556001820369,2.702237999983481,80.38225943066168,370.0636287425878,4.603797297609026
resnet50_no_weights,CIFAR10,QAT,8,28.060787999493186,8.873054999639862,285.09534372821213,901.6060421494855,3.1624720009773535
resnet50_no_weights,CIFAR10,QAT,32,156.58303499913018,32.91377099958481,204.3644127869776,972.2374261036106,4.757371466220184
resnet50_no_weights,CIFAR10,QAT,64,372.859523000443,74.47524350027379,171.64641386918248,859.345965075827,5.0064894786020036
resnet50_no_weights,CIFAR10,QAT,128,818.6883324997325,160.72235349929542,156.34765382471335,796.4044652977356,5.093805028827688
