model,dataset,spike_layer,descriptor,spearman_vs_residual,partial_corr_controlling_numel,spike_A_share,spike_G_share,resolution_contrast_ratio,hypothesis_supported
resnet50_no_weights,CIFAR10,conv1,output_map,0.019436342050283585,-0.1089125947650514,1.543671790118066,-0.5436717901180662,10.048503665546592,H1
resnet50_no_weights,CIFAR10,conv1,fan_in,0.0046854125082826156,0.011052769137931394,1.543671790118066,-0.5436717901180662,10.048503665546592,H1
resnet50_no_weights,CIFAR10,conv1,tr_A_prev,0.24929005703130597,0.23987096275389502,1.543671790118066,-0.5436717901180662,10.048503665546592,H1
resnet50_no_weights,IMAGENET100,conv1,output_map,-0.13531675102605725,0.4462633608487997,-3.026180872199253,4.0261808721992525,10.048503665546592,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet50_no_weights,IMAGENET100,conv1,fan_in,-0.016552563861227925,0.02010585991580736,-3.026180872199253,4.0261808721992525,10.048503665546592,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet50_no_weights,IMAGENET100,conv1,tr_A_prev,0.2787169567298026,0.30502328699201514,-3.026180872199253,4.0261808721992525,10.048503665546592,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,CIFAR10,conv1,output_map,0.6068824854805611,0.4285846767985902,1.26479639116587,-0.26479639116587,1.4614823470276173,H2
resnet18_no_weights,CIFAR10,conv1,fan_in,-0.09091863968186123,-0.46252092277771784,1.26479639116587,-0.26479639116587,1.4614823470276173,H2
resnet18_no_weights,CIFAR10,conv1,tr_A_prev,0.13896103896103898,0.17782416182600347,1.26479639116587,-0.26479639116587,1.4614823470276173,H2
resnet18_no_weights,IMAGENET100,conv1,output_map,0.2352795789150419,0.1627478997412866,-1.7196990721438241,2.719699072143824,1.4614823470276173,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,IMAGENET100,conv1,fan_in,0.05072996561958924,0.03834824387403898,-1.7196990721438241,2.719699072143824,1.4614823470276173,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,IMAGENET100,conv1,tr_A_prev,0.2558441558441559,-0.35717929815899396,-1.7196990721438241,2.719699072143824,1.4614823470276173,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,CIFAR10,layer1.1.conv1,output_map,0.6068824854805611,0.4285846767985902,-0.9365437909938678,1.9365437909938679,0.42264097239444887,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,CIFAR10,layer1.1.conv1,fan_in,-0.09091863968186123,-0.46252092277771784,-0.9365437909938678,1.9365437909938679,0.42264097239444887,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,CIFAR10,layer1.1.conv1,tr_A_prev,0.13896103896103898,0.17782416182600347,-0.9365437909938678,1.9365437909938679,0.42264097239444887,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,IMAGENET100,layer1.1.conv1,output_map,0.2352795789150419,0.1627478997412866,-1.2315466724351003,2.2315466724351003,0.42264097239444887,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,IMAGENET100,layer1.1.conv1,fan_in,0.05072996561958924,0.03834824387403898,-1.2315466724351003,2.2315466724351003,0.42264097239444887,mixed (backward/G-dominated -- neither H1 nor H3 alone)
resnet18_no_weights,IMAGENET100,layer1.1.conv1,tr_A_prev,0.2558441558441559,-0.35717929815899396,-1.2315466724351003,2.2315466724351003,0.42264097239444887,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,CIFAR10,conv1,output_map,0.5797710356524485,0.2919064850956189,23.01262604765845,-22.01262604765845,0.422062016215301,mixed
cnn,CIFAR10,conv1,fan_in,-0.28988551782622424,-0.7218836898585079,23.01262604765845,-22.01262604765845,0.422062016215301,mixed
cnn,CIFAR10,conv1,tr_A_prev,0.5428571428571429,0.4857258428121845,23.01262604765845,-22.01262604765845,0.422062016215301,mixed
cnn,IMAGENET100,conv1,output_map,0.3188740696088466,-0.5459586420420629,-10.002025765953439,11.002025765953439,0.422062016215301,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,IMAGENET100,conv1,fan_in,-0.08696565534786727,-0.7053202950459584,-10.002025765953439,11.002025765953439,0.422062016215301,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,IMAGENET100,conv1,tr_A_prev,-0.2571428571428572,-0.00187271450026509,-10.002025765953439,11.002025765953439,0.422062016215301,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,CIFAR10,conv2,output_map,0.5797710356524485,0.2919064850956189,-3.80289221642012,4.80289221642012,0.8907989321436802,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,CIFAR10,conv2,fan_in,-0.28988551782622424,-0.7218836898585079,-3.80289221642012,4.80289221642012,0.8907989321436802,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,CIFAR10,conv2,tr_A_prev,0.5428571428571429,0.4857258428121845,-3.80289221642012,4.80289221642012,0.8907989321436802,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,IMAGENET100,conv2,output_map,0.3188740696088466,-0.5459586420420629,-2.0987890178709407,3.0987890178709407,0.8907989321436802,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,IMAGENET100,conv2,fan_in,-0.08696565534786727,-0.7053202950459584,-2.0987890178709407,3.0987890178709407,0.8907989321436802,mixed (backward/G-dominated -- neither H1 nor H3 alone)
cnn,IMAGENET100,conv2,tr_A_prev,-0.2571428571428572,-0.00187271450026509,-2.0987890178709407,3.0987890178709407,0.8907989321436802,mixed (backward/G-dominated -- neither H1 nor H3 alone)
