model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,0.5671317198275037,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,0.011031919322773032,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,-0.36360873476568223,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,-0.33659657127224296,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,0.41835432310606224,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,-0.3573493052720087,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,-0.37674562142571855,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,-0.4448320192074333,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,-0.11983761849746966,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,0.1342464095820315,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,0.02456567620657424,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,0.3136047902785952,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,0.3823631814942674,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,0.4554661334345509,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,0.4797025138930957,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,-0.47176110758588363,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,-0.1694450261404956,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,0.015566331145723922,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,-0.3537544325983535,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,-0.16479654550947043,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,-0.09039433978332889,1.0
