model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",11.782139253616332,0.006818367623620563,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",4.254737708303663,0.001038754323316324,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",3.4980310834183985,9.4890166108355e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",2.910423657350373,0.00017763816268007648,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",16.554158392406645,0.0010103856440677884,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",2.7746197793443326,0.00016934935176662186,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",3.3938041596577087,9.206282985182586e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",2.26840587788158,0.00013845250719492065,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",4.794189149683172,0.00029261408384296703,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",11.007249448034498,0.0002985907510860053,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",6.685262417793274,0.00040803603624226523,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",16.051422584624518,0.0004898505427436682,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",29.682979403601752,0.00020130058731826275,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",27.461915518108167,0.0004190355761430079,20260811
