model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer4.2.conv3,layer4.2.conv3,inf,11.8,11.79,-0.010000000000001563
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer4.0.conv3,layer4.2.conv3;layer4.0.conv3,3100.000248269715,11.8,11.59,-0.21000000000000085
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer3.5.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3,874.4999394440056,11.8,11.67,-0.13000000000000078
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer3.2.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3;layer3.2.conv3,272.523855398009,11.8,11.75,-0.05000000000000071
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer3.4.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3;layer3.2.conv3;layer3.4.conv3,204.4062194122476,11.8,13.98,2.1799999999999997
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,fc,fc,2.8594083083895563,11.8,10.68,-1.120000000000001
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,2,layer1.1.conv1,fc;layer1.1.conv1,3.5587436286631546,11.8,10.74,-1.0600000000000005
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,3,conv1,fc;layer1.1.conv1;conv1,3.5708808112664125,11.8,10.72,-1.08
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,4,layer1.1.conv2,fc;layer1.1.conv1;conv1;layer1.1.conv2,3.5892604992791406,11.8,10.68,-1.120000000000001
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,5,layer1.2.conv1,fc;layer1.1.conv1;conv1;layer1.1.conv2;layer1.2.conv1,3.9124536473766014,11.8,10.65,-1.1500000000000004
