model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet50_no_weights,CIFAR10,PTQ,conv1,13161.826611328124,80.56,78.94,1.6200000000000045,77.69,2.219999999999999
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,93.97798377445766,80.56,80.52,0.04000000000000625,75.7,0.23000000000000398
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,475.70222058015713,80.56,80.59,-0.030000000000001137,75.4,-0.06999999999999318
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,86.1017331688903,80.56,80.46,0.10000000000000853,75.38,-0.09000000000000341
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,37.60608850143574,80.56,80.01,0.5499999999999972,75.91,0.4399999999999977
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,275.47671289597787,80.56,80.56,0.0,75.55,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,117.37038005698813,80.56,80.63,-0.06999999999999318,75.31,-0.1599999999999966
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,24.527275731166203,80.56,80.52,0.04000000000000625,75.4,-0.06999999999999318
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,261.5269669083988,80.56,80.49,0.07000000000000739,75.57,0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,37.58456877390544,80.56,80.43,0.12999999999999545,75.61,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,27.009810951139247,80.56,80.51,0.04999999999999716,75.59,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,219.125064752141,80.56,80.43,0.12999999999999545,75.73,0.2600000000000051
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,64.26608755923154,80.56,80.28,0.28000000000000114,75.73,0.2600000000000051
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,16.48446031858524,80.56,80.42,0.14000000000000057,76.2,0.730000000000004
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,10.07060154080391,80.56,80.41,0.15000000000000568,75.92,0.45000000000000284
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,30.9089526281907,80.56,80.61,-0.04999999999999716,75.5,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,5.648021396588195,80.56,80.57,-0.009999999999990905,75.48,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,19.40712256077677,80.56,80.58,-0.01999999999999602,75.46,-0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,30.169956476898754,80.56,80.45,0.10999999999999943,75.58,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,9.01698795737078,80.56,80.62,-0.060000000000002274,75.31,-0.1599999999999966
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,13.122517422393516,80.56,80.7,-0.14000000000000057,75.45,-0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,27.039541803590662,80.56,80.49,0.07000000000000739,75.61,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,3.264104516389444,80.56,80.69,-0.12999999999999545,75.38,-0.09000000000000341
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,8.239005318812785,80.56,80.69,-0.12999999999999545,75.35,-0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,17.914294745471025,80.56,80.57,-0.009999999999990905,75.17,-0.29999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2,2.519943120319452,80.56,80.78,-0.21999999999999886,75.77,0.29999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3,1.66456843607805,80.56,80.69,-0.12999999999999545,75.48,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,3.589457088046604,80.56,80.7,-0.14000000000000057,75.51,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1,3.378081816320236,80.56,80.7,-0.14000000000000057,75.25,-0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2,1.7389115584748132,80.56,80.62,-0.060000000000002274,75.43,-0.03999999999999204
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3,2.69762098259396,80.56,80.56,0.0,75.34,-0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1,4.58018182143569,80.56,80.64,-0.0799999999999983,75.52,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2,0.9338966512254306,80.56,80.62,-0.060000000000002274,75.53,0.060000000000002274
