model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",13.106162025814964,0.0075845845056799555,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",6.60245156288147,0.0016119266510941088,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",36.01474458521063,0.0009769624724720765,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",26.39676316579183,0.001611130564318349,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",31.736544966697693,0.0019370449808775447,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",9.508056650161743,0.0005803257232764736,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",47.362371839326,0.0012847865624817166,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",24.1514333152771,0.0014740865060593933,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",28.47781666930841,0.0017381479900700934,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",9.417040626881485,0.0002554535760330264,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",17.114630313146684,0.0010445941353238943,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",28.9729827830666,0.0008841852655965148,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",12.914384776148303,8.758127696498144e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",32.83449490125789,0.0005010146316720259,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",51.096060333251955,0.0003898320032749325,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",5.337000296666072,8.143616175332751e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",13.928112602233886,9.445605877165993e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",10.128966728846232,0.00015455576673654528,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.907580409731183,0.00013591889052934545,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",18.004279906933125,0.00012209933747648875,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",8.096122455596923,0.00012353702477412297,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",19.691427925799754,0.00030046734505920035,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",27.481446706331692,0.00018637048818855584,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",12.19463387131691,0.0001860753459368425,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",34.715974126543315,0.00026486186314806607,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,"(256, 256, 3, 3)",27.269895553588867,4.6233953778735464e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,"(1024, 256, 1, 1)",19.31194069806267,7.366920737481182e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,"(1024, 512, 1, 1)",51.87224683761597,9.893845908663934e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,"(256, 1024, 1, 1)",4.8654782507154675,1.8560326578962202e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,"(256, 256, 3, 3)",14.005925210316976,2.3745939823264185e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,"(1024, 256, 1, 1)",9.543652898386904,3.640614661555063e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv1,"(256, 1024, 1, 1)",6.002716955016641,2.2898547954622808e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv2,"(256, 256, 3, 3)",13.647144436836243,2.3137655363017177e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv3,"(1024, 256, 1, 1)",8.010671138763428,3.055828528886195e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,"(256, 1024, 1, 1)",12.84640908241272,4.900516159977997e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,"(256, 256, 3, 3)",26.820465755462646,4.547198105784547e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,"(1024, 256, 1, 1)",12.381523026360405,4.723176203293001e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,"(256, 1024, 1, 1)",13.233785183198991,5.048288415221783e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,"(256, 256, 3, 3)",24.993989032247793,4.2375334052611954e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,"(1024, 256, 1, 1)",8.66030314094142,3.303643471123283e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,"(256, 1024, 1, 1)",13.132441202799479,5.009628754730026e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,"(256, 256, 3, 3)",16.626339582296517,2.8188645396417433e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,"(1024, 256, 1, 1)",8.349078630146227,3.1849207420906934e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,"(512, 1024, 1, 1)",25.126931190490723,4.792581785295624e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,"(512, 512, 3, 3)",18.58339398247855,7.876669134554779e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv3,"(2048, 512, 1, 1)",14.439039598811757,1.3770141218959576e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,"(2048, 1024, 1, 1)",45.27155180900328,2.1587158112050666e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,"(512, 2048, 1, 1)",22.80728014310201,2.1750717299558648e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,"(512, 512, 3, 3)",67.95937359717584,2.8804937403859387e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv3,"(2048, 512, 1, 1)",26.060531828138565,2.4853259876383367e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv1,"(512, 2048, 1, 1)",39.16009974479675,3.734598135451961e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv2,"(512, 512, 3, 3)",27.32216453552246,1.158064292717932e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv3,"(2048, 512, 1, 1)",8.828942565917968,8.419935766141861e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,fc,"(10, 2048)",5.225135040283203,0.0002551335468888283,20260811
resnet50_no_weights,CIFAR10,fp32_fused,conv1,"(64, 3, 3, 3)",125.56843499077691,0.07266691839744034,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,"(64, 64, 1, 1)",9.723207892203817,0.0023738300518075725,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,"(64, 64, 3, 3)",70.6675028624358,0.001916978701780485,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv3,"(256, 64, 1, 1)",23.583237274833348,0.0014394065719502776,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.downsample.0,"(256, 64, 1, 1)",26.178875037602015,0.0015978317283692636,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,"(64, 256, 1, 1)",27.97500205039978,0.001707458621240221,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,"(64, 64, 3, 3)",62.319567150539825,0.0016905264526513625,20260811
