model,dataset,predictor,n_layers,rho,p,ci_low,ci_high,n_bootstrap,n_bootstrap_requested,true_top_layer,rank_of_true_top,is_rank1,k_star,top_k_overlap
cnn,IMAGENET100,weight_magnitude,6,-0.8285714285714287,0.04156268221574335,-1.0,0.0,2000,2000,conv1,6,False,1,0/1
cnn,IMAGENET100,grad_norm,6,0.5428571428571429,0.26570262390670546,-0.9999999999999999,0.8000000000000002,2000,2000,conv1,3,False,1,0/1
cnn,IMAGENET100,fisher_diag,6,0.6,0.208,-0.0909090909090909,1.0,2000,2000,conv1,3,False,1,0/1
cnn,IMAGENET100,raw_trh,6,0.5428571428571429,0.26570262390670546,-0.9999999999999999,0.8000000000000002,2000,2000,conv1,3,False,1,0/1
resnet18_no_weights,IMAGENET100,weight_magnitude,21,-0.20909090909090908,0.36302566515631635,-0.6586829989478804,0.314704371676385,2000,2000,conv1,21,False,3,0/3
resnet18_no_weights,IMAGENET100,grad_norm,21,0.08961038961038961,0.6992893846688304,-0.4545484196169128,0.5321581247898551,2000,2000,conv1,2,False,3,1/3
resnet18_no_weights,IMAGENET100,fisher_diag,21,0.11688311688311687,0.6138658528020938,-0.45338963180541597,0.5547406190536268,2000,2000,conv1,1,True,3,1/3
resnet18_no_weights,IMAGENET100,raw_trh,21,0.10259740259740259,0.6580970577075416,-0.46108941541068893,0.5509113400648092,2000,2000,conv1,1,True,3,1/3
resnet50_no_weights,IMAGENET100,weight_magnitude,54,-0.0822184105202973,0.5544906480965734,-0.34148817399275966,0.19503276264207592,2000,2000,conv1,48,False,6,0/6
resnet50_no_weights,IMAGENET100,grad_norm,54,0.15075281113016958,0.2765446921754002,-0.13185390323937143,0.42111882060558864,2000,2000,conv1,1,True,6,1/6
resnet50_no_weights,IMAGENET100,fisher_diag,54,0.14038498189441584,0.31129848389500303,-0.15717877875003716,0.4166557761944361,2000,2000,conv1,1,True,6,1/6
resnet50_no_weights,IMAGENET100,raw_trh,54,0.13466742900705161,0.3316101156489479,-0.1694543961821858,0.4146348152420082,2000,2000,conv1,1,True,6,1/6
cnn,CIFAR10,weight_magnitude,6,-0.7142857142857143,0.11078717201166179,-1.0,0.22580645161290325,2000,2000,conv1,6,False,1,0/1
cnn,CIFAR10,grad_norm,6,0.7714285714285715,0.07239650145772594,0.0,1.0,2000,2000,conv1,2,False,1,0/1
cnn,CIFAR10,fisher_diag,6,0.7714285714285715,0.07239650145772594,0.0,1.0,2000,2000,conv1,2,False,1,0/1
cnn,CIFAR10,raw_trh,6,0.7714285714285715,0.07239650145772594,0.0,1.0,2000,2000,conv1,2,False,1,0/1
resnet18_no_weights,CIFAR10,weight_magnitude,21,-0.587012987012987,0.005149313814572183,-0.8470840556261798,-0.1871327997596775,2000,2000,layer1.1.conv1,20,False,3,0/3
resnet18_no_weights,CIFAR10,grad_norm,21,0.4714285714285714,0.030978075295294817,0.05758747602508943,0.746093825644927,2000,2000,layer1.1.conv1,1,True,3,1/3
resnet18_no_weights,CIFAR10,fisher_diag,21,0.425974025974026,0.05417854233992367,0.009096858638743571,0.7448602297026965,2000,2000,layer1.1.conv1,1,True,3,1/3
resnet18_no_weights,CIFAR10,raw_trh,21,0.42207792207792205,0.056659249673108106,-0.003948456562502929,0.7495597828799759,2000,2000,layer1.1.conv1,1,True,3,1/3
resnet50_no_weights,CIFAR10,weight_magnitude,54,0.19740804269106155,0.15247979892761226,-0.07300026726738186,0.45321980442985815,2000,2000,fc,10,False,6,0/6
resnet50_no_weights,CIFAR10,grad_norm,54,0.3680198208500095,0.0061829949981584,0.11101199960031827,0.5842097662705594,2000,2000,fc,33,False,6,2/6
resnet50_no_weights,CIFAR10,fisher_diag,54,0.37777777777777777,0.004857762755374586,0.11659507997216562,0.6040469739015988,2000,2000,fc,39,False,6,2/6
resnet50_no_weights,CIFAR10,raw_trh,54,0.3618448637316561,0.00717615564698458,0.09500947693451879,0.6050126569047165,2000,2000,fc,40,False,6,2/6
