model,dataset,predictor,n_layers_with_conv1,rho_with_conv1,ci_low_with_conv1,ci_high_with_conv1,rank1_with_conv1,topk_overlap_with_conv1,k_star_with_conv1,n_layers_no_conv1,rho_no_conv1,ci_low_no_conv1,ci_high_no_conv1,rank1_no_conv1,topk_overlap_no_conv1,k_star_no_conv1,delta_rho,true_top_layer_no_conv1
cnn,IMAGENET100,raw_trh,6,0.5428571428571429,-0.9999999999999999,0.8000000000000002,False,0/1,1,5,0.49999999999999994,-1.0,1.0,False,0/1,1,-0.04285714285714298,conv2
cnn,IMAGENET100,dwsq,6,-0.8285714285714287,-1.0,0.0,False,0/1,1,5,-0.7,-1.0,0.6666666666666666,False,0/1,1,0.12857142857142878,conv2
cnn,IMAGENET100,trh_dwsq,6,-0.08571428571428573,-1.0,1.0,False,0/1,1,5,0.6,-1.0,1.0,False,0/1,1,0.6857142857142857,conv2
resnet18_no_weights,IMAGENET100,raw_trh,21,0.10259740259740259,-0.46108941541068893,0.5509113400648092,True,1/3,3,20,-0.03909774436090225,-0.5420369382120234,0.41061281241417186,False,0/2,2,-0.14169514695830485,fc
resnet18_no_weights,IMAGENET100,dwsq,21,-0.1909090909090909,-0.6265581672634012,0.33425976515859895,False,0/3,3,20,-0.0631578947368421,-0.558310770331084,0.44785077059478623,False,0/2,2,0.12775119617224878,fc
resnet18_no_weights,IMAGENET100,trh_dwsq,21,-0.12727272727272726,-0.5348549437155868,0.2984352530541012,False,0/3,3,20,-0.13684210526315788,-0.5800086653919958,0.3720591570651867,False,0/2,2,-0.009569377990430616,fc
resnet50_no_weights,IMAGENET100,raw_trh,54,0.13466742900705161,-0.1694543961821858,0.4146348152420082,True,1/6,6,53,0.08474439606515079,-0.20317321646379818,0.37351226606183935,False,0/6,6,-0.04992303294190083,layer1.1.conv2
resnet50_no_weights,IMAGENET100,dwsq,54,-0.11080617495711834,-0.3686131895666226,0.1782113005005626,False,0/6,6,53,-0.059506531204644414,-0.3335263862530705,0.2183101683265039,False,0/6,6,0.05129964375247392,layer1.1.conv2
resnet50_no_weights,IMAGENET100,trh_dwsq,54,0.03830760434534018,-0.21996952589411203,0.30304894350105643,False,0/6,6,53,0.0004837929366231253,-0.2730316427505824,0.2764951051502509,False,0/6,6,-0.03782381140871706,layer1.1.conv2
cnn,CIFAR10,raw_trh,6,0.7714285714285715,0.0,1.0,False,0/1,1,5,0.7,-0.6666666666666666,1.0,True,1/1,1,-0.07142857142857151,conv2
cnn,CIFAR10,dwsq,6,-0.8857142857142858,-1.0,0.0,False,0/1,1,5,-0.7999999999999999,-1.0,-0.1111111111111111,False,0/1,1,0.08571428571428585,conv2
cnn,CIFAR10,trh_dwsq,6,0.3714285714285715,-0.8000000000000002,1.0,False,0/1,1,5,0.6,-0.8749999999999999,1.0,False,0/1,1,0.22857142857142848,conv2
resnet18_no_weights,CIFAR10,raw_trh,21,0.42207792207792205,-0.003948456562502929,0.7495597828799759,True,1/3,3,20,0.35639097744360904,-0.09230555138524783,0.7158321853387689,True,1/2,2,-0.06568694463431302,layer1.1.conv1
resnet18_no_weights,CIFAR10,dwsq,21,-0.6142857142857143,-0.8602243580451352,-0.21462696335078552,False,0/3,3,20,-0.5624060150375939,-0.8471205239373293,-0.12050932061647464,False,0/2,2,0.051879699248120414,layer1.1.conv1
resnet18_no_weights,CIFAR10,trh_dwsq,21,-0.22337662337662337,-0.589300037837412,0.20942485724991663,False,0/3,3,20,-0.15488721804511277,-0.5582803147234875,0.2867029326506794,False,0/2,2,0.0684894053315106,layer1.1.conv1
resnet50_no_weights,CIFAR10,raw_trh,54,0.3618448637316561,0.09500947693451879,0.6050126569047165,False,2/6,6,53,0.32817287534268663,0.05314837040973426,0.5651030809062417,False,1/6,6,-0.033671988388969454,fc
resnet50_no_weights,CIFAR10,dwsq,54,0.2495521250238231,-0.028402074788375923,0.4994386532177169,False,1/6,6,53,0.3186582809224318,0.06564047251525715,0.5438970219508888,False,1/6,6,0.06910615589860872,fc
resnet50_no_weights,CIFAR10,trh_dwsq,54,0.35361158757385164,0.09793873130687794,0.5704351034035028,False,1/6,6,53,0.3704241251411063,0.1162084574198299,0.5886862461587183,False,1/6,6,0.01681253756725465,fc
