model,dataset,predictor,rho,ci_low,ci_high,n_layers,n_bootstrap,n_bootstrap_requested,seed
cnn,CIFAR10,raw_trh,0.9276336570439175,0.5151515151515151,1.0,6,1996,2000,42
cnn,CIFAR10,dwsq,-0.6377481392176932,-1.0,0.7104812755892914,6,1999,2000,42
cnn,CIFAR10,trh_dwsq,0.5507824838698261,-0.6363636363636362,1.0,6,1998,2000,42
cnn,IMAGENET100,raw_trh,0.6,-0.8000000000000002,1.0,6,2000,2000,42
cnn,IMAGENET100,dwsq,-0.942857142857143,-1.0,-0.5151515151515151,6,2000,2000,42
cnn,IMAGENET100,trh_dwsq,-0.14285714285714288,-1.0,0.8000000000000002,6,1999,2000,42
resnet18_no_weights,CIFAR10,raw_trh,0.2922077922077922,-0.17864140213697052,0.6478375810934053,21,2000,2000,42
resnet18_no_weights,CIFAR10,dwsq,-0.36233766233766235,-0.7069789319489024,0.14613402786750218,21,2000,2000,42
resnet18_no_weights,CIFAR10,trh_dwsq,-0.15974025974025974,-0.5382653317905116,0.3145211728296732,21,2000,2000,42
resnet18_no_weights,IMAGENET100,raw_trh,0.12141157704265125,-0.4110872524265865,0.5894702342805072,21,2000,2000,42
resnet18_no_weights,IMAGENET100,dwsq,-0.2519616598842117,-0.6319769564937388,0.18990905477818215,21,2000,2000,42
resnet18_no_weights,IMAGENET100,trh_dwsq,-0.15274359692462577,-0.5473737686136876,0.29702289508401536,21,2000,2000,42
resnet50_no_weights,CIFAR10,raw_trh,0.20515180191672008,-0.056086492840612893,0.44908081631666025,54,2000,2000,42
resnet50_no_weights,CIFAR10,dwsq,0.176663807055964,-0.11019167466502017,0.4411972523090483,54,2000,2000,42
resnet50_no_weights,CIFAR10,trh_dwsq,0.19398603748807475,-0.05923217119129332,0.4262254218054363,54,2000,2000,42
resnet50_no_weights,IMAGENET100,raw_trh,0.2987665756118894,0.009770984134979939,0.5477080967225064,54,2000,2000,42
resnet50_no_weights,IMAGENET100,dwsq,-0.006170804191598999,-0.2823914717957757,0.2830509003743923,54,2000,2000,42
resnet50_no_weights,IMAGENET100,trh_dwsq,0.1785700417929176,-0.10173912068747788,0.42323712478528,54,2000,2000,42
