model,dataset,predictor,rho,p,ci_low,ci_high,n_layers,n_bootstrap,n_bootstrap_requested,seed
cnn,CIFAR10,raw_trh,0.7714,0.07239650145772594,0.0,1.0,6,2000,2000,42
cnn,CIFAR10,dwsq,-0.8857,0.01884548104956266,-1.0,-0.2,6,1999,2000,42
cnn,CIFAR10,trh_dwsq,0.3714,0.4684781341107872,-0.8,1.0,6,2000,2000,42
cnn,IMAGENET100,raw_trh,0.5429,0.26570262390670546,-1.0,0.8,6,2000,2000,42
cnn,IMAGENET100,dwsq,-0.8286,0.04156268221574335,-1.0,0.0,6,2000,2000,42
cnn,IMAGENET100,trh_dwsq,-0.0857,0.8717434402332361,-1.0,1.0,6,1999,2000,42
resnet18_no_weights,CIFAR10,raw_trh,0.4221,0.056659249673108106,-0.01,0.7489,21,2000,2000,42
resnet18_no_weights,CIFAR10,dwsq,-0.6143,0.0030502365456209725,-0.8509,-0.2191,21,2000,2000,42
resnet18_no_weights,CIFAR10,trh_dwsq,-0.2234,0.330387908876124,-0.5919,0.215,21,2000,2000,42
resnet18_no_weights,IMAGENET100,raw_trh,0.1026,0.6580970577075416,-0.4265,0.5435,21,2000,2000,42
resnet18_no_weights,IMAGENET100,dwsq,-0.1909,0.4071327297448127,-0.6186,0.3121,21,2000,2000,42
resnet18_no_weights,IMAGENET100,trh_dwsq,-0.1273,0.5824788611326692,-0.5488,0.3089,21,2000,2000,42
resnet50_no_weights,CIFAR10,raw_trh,0.3618,0.00717615564698458,0.0951,0.5845,54,2000,2000,42
resnet50_no_weights,CIFAR10,dwsq,0.2496,0.06878524415215422,-0.0331,0.4923,54,2000,2000,42
resnet50_no_weights,CIFAR10,trh_dwsq,0.3536,0.00871481885943563,0.1182,0.5795,54,2000,2000,42
resnet50_no_weights,IMAGENET100,raw_trh,0.1347,0.3316101156489479,-0.1672,0.41,54,2000,2000,42
resnet50_no_weights,IMAGENET100,dwsq,-0.1108,0.42506557961399277,-0.3895,0.1612,54,2000,2000,42
resnet50_no_weights,IMAGENET100,trh_dwsq,0.0383,0.7833036721975497,-0.239,0.2919,54,2000,2000,42
