model,dataset,predictor,n_layers,true_top_layer,true_top_layer_rank,rank_pct,top_k_fixed5_overlap,top_k_norm,top_k_norm_overlap
cnn,CIFAR10,raw_trh,6,conv1,2,0.3333,5/5,1,0/1
cnn,CIFAR10,dwsq,6,conv1,6,1.0,4/5,1,0/1
cnn,CIFAR10,trh_dwsq,6,conv1,4,0.6667,5/5,1,0/1
cnn,IMAGENET100,raw_trh,6,conv1,3,0.5,4/5,1,0/1
cnn,IMAGENET100,dwsq,6,conv1,6,1.0,4/5,1,0/1
cnn,IMAGENET100,trh_dwsq,6,conv1,6,1.0,4/5,1,0/1
resnet18_no_weights,CIFAR10,raw_trh,21,layer1.1.conv1,1,0.0476,2/5,3,1/3
resnet18_no_weights,CIFAR10,dwsq,21,layer1.1.conv1,20,0.9524,0/5,3,0/3
resnet18_no_weights,CIFAR10,trh_dwsq,21,layer1.1.conv1,12,0.5714,0/5,3,0/3
resnet18_no_weights,IMAGENET100,raw_trh,21,conv1,1,0.0476,1/5,3,1/3
resnet18_no_weights,IMAGENET100,dwsq,21,conv1,21,1.0,1/5,3,0/3
resnet18_no_weights,IMAGENET100,trh_dwsq,21,conv1,10,0.4762,1/5,3,0/3
resnet50_no_weights,CIFAR10,raw_trh,54,fc,40,0.7407,1/5,6,1/6
resnet50_no_weights,CIFAR10,dwsq,54,fc,17,0.3148,0/5,6,0/6
resnet50_no_weights,CIFAR10,trh_dwsq,54,fc,34,0.6296,0/5,6,0/6
resnet50_no_weights,IMAGENET100,raw_trh,54,conv1,1,0.0185,1/5,6,1/6
resnet50_no_weights,IMAGENET100,dwsq,54,conv1,54,1.0,0/5,6,0/6
resnet50_no_weights,IMAGENET100,trh_dwsq,54,conv1,9,0.1667,0/5,6,0/6
