model,dataset,pair,rho,p,n_layers
cnn,CIFAR10,raw_trh_vs_dwsq,-0.5429,0.26570262390670546,6
cnn,CIFAR10,raw_trh_vs_trh_dwsq,0.7143,0.11078717201166179,6
cnn,CIFAR10,dwsq_vs_trh_dwsq,0.0286,0.9571545189504373,6
cnn,IMAGENET100,raw_trh_vs_dwsq,-0.7143,0.11078717201166179,6
cnn,IMAGENET100,raw_trh_vs_trh_dwsq,0.6,0.208,6
cnn,IMAGENET100,dwsq_vs_trh_dwsq,0.0857,0.8717434402332361,6
resnet18_no_weights,CIFAR10,raw_trh_vs_dwsq,-0.5519,0.00948241340899865,21
resnet18_no_weights,CIFAR10,raw_trh_vs_trh_dwsq,0.4494,0.04099667350688651,21
resnet18_no_weights,CIFAR10,dwsq_vs_trh_dwsq,0.4286,0.05257154042070508,21
resnet18_no_weights,IMAGENET100,raw_trh_vs_dwsq,-0.5974,0.004240874117222793,21
resnet18_no_weights,IMAGENET100,raw_trh_vs_trh_dwsq,0.426,0.05417854233992367,21
resnet18_no_weights,IMAGENET100,dwsq_vs_trh_dwsq,0.4065,0.06745818431180065,21
resnet50_no_weights,CIFAR10,raw_trh_vs_dwsq,0.4758,0.0002764739276963634,54
resnet50_no_weights,CIFAR10,raw_trh_vs_trh_dwsq,0.8553,1.8080571710112265e-16,54
resnet50_no_weights,CIFAR10,dwsq_vs_trh_dwsq,0.8396,2.149621009817211e-15,54
resnet50_no_weights,IMAGENET100,raw_trh_vs_dwsq,0.4033,0.0024946309984727067,54
resnet50_no_weights,IMAGENET100,raw_trh_vs_trh_dwsq,0.7769,4.975303606894401e-12,54
resnet50_no_weights,IMAGENET100,dwsq_vs_trh_dwsq,0.8343,4.644964994790806e-15,54
