model,dataset,stage,layer,weight_damage_pts,fp32_acc,isolated_acc
cnn,CIFAR10,PTQ,fc1,-0.0799999999999983,81.3,81.38
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-0.2599999999999909,84.18,84.44
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-0.1499999999999914,84.18,84.33
resnet18_no_weights,CIFAR10,PTQ,fc,-0.1399999999999863,84.18,84.32
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-0.1299999999999954,84.18,84.31
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-0.1199999999999903,84.18,84.3
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-0.1099999999999994,84.18,84.29
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-0.0799999999999983,84.18,84.26
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,-0.059999999999988,84.18,84.24
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,-0.0499999999999971,84.18,84.23
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,-0.039999999999992,84.18,84.22
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-0.0299999999999869,84.18,84.21
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1,-0.1599999999999966,80.06,80.22
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1,-0.1599999999999966,80.06,80.22
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1,-0.0999999999999943,80.06,80.16
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2,-0.0999999999999943,80.06,80.16
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2,-0.0799999999999983,80.06,80.14
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2,-0.0799999999999983,80.06,80.14
resnet50_no_weights,CIFAR10,PTQ,fc,-0.5699999999999932,81.14,81.71
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,-0.1799999999999926,81.14,81.32
