model,dataset,stage,predictor,n_layers,spearman_rho,spearman_p,top5_overlap_with_damage,conv1_predictor_rank,conv1_damage_rank
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,0.44704362913473766,0.042173902764985276,2/5,2,2
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,0.020142954219733823,0.9309395882830083,1/5,20,2
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,0.44054590196708165,0.045630942968967206,2/5,16,2
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,0.12316257886103742,0.3749368873498581,2/5,1,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,0.05361194609245158,0.7002192641021661,1/5,54,1
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,0.12491659701199956,0.36812073260658085,1/5,34,1
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,-0.2712198707383833,0.2343482526582343,0/5,2,18
resnet18_no_weights,CIFAR10,QAT,dwsq,21,0.35121997649574815,0.11848737877135503,3/5,20,18
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,0.2334962436332844,0.30836265514519545,2/5,16,18
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,0.09000729370690778,0.5174667881089408,3/5,1,33
resnet50_no_weights,CIFAR10,QAT,dwsq,54,-0.07688202493404798,0.5805615961200671,0/5,54,33
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,0.016292121412823074,0.9069167187607013,0/5,33,33
