model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet18_no_weights,CIFAR10,PTQ,conv1,96.21130180358888,84.69,83.79,0.8999999999999915,83.1,0.6699999999999875
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,52.224178512891136,84.69,84.94,-0.25,82.03,-0.4000000000000057
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,45.33528804779053,84.69,84.81,-0.12000000000000455,82.29,-0.14000000000000057
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,216.10453451833416,84.69,84.45,0.23999999999999488,82.67,0.23999999999999488
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,24.98282623291016,84.69,84.36,0.3299999999999983,82.99,0.5599999999999881
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,153.32715797424316,84.69,84.63,0.060000000000002274,82.33,-0.10000000000000853
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,20.628141948154997,84.69,84.48,0.20999999999999375,82.65,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,18.020284366607665,84.69,84.27,0.4200000000000017,83.05,0.6199999999999903
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,96.65882750480404,84.69,84.47,0.21999999999999886,82.55,0.11999999999999034
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,16.531283497810364,84.69,84.7,-0.010000000000005116,82.6,0.1699999999999875
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,217.74737646640875,84.69,84.57,0.12000000000000455,82.56,0.12999999999999545
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,45.57635612487793,84.69,84.77,-0.0799999999999983,82.42,-0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,21.142045974731445,84.69,84.52,0.1700000000000017,82.61,0.1799999999999926
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,91.43187067243788,84.69,84.58,0.10999999999999943,82.58,0.14999999999999147
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,14.374368624253709,84.69,84.64,0.04999999999999716,82.45,0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,71.74697017669678,84.69,84.47,0.21999999999999886,82.62,0.18999999999999773
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,14.985053020974863,84.69,84.71,-0.01999999999999602,82.41,-0.020000000000010232
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,7.408154031809638,84.69,84.63,0.060000000000002274,82.55,0.11999999999999034
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,64.3935262298584,84.69,84.64,0.04999999999999716,82.38,-0.05000000000001137
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,2.339421865986843,84.69,84.71,-0.01999999999999602,82.46,0.029999999999986926
resnet18_no_weights,CIFAR10,PTQ,fc,2.937571841127732,84.69,84.96,-0.269999999999996,81.74,-0.6900000000000119
